dataset,language_group,domain
AIDATATANG,Chinese,read_prompts
AISHELL-1,Chinese,read_prompts
AMI,English,meeting_multispeaker
atcldc,Chinese,domain_airtraffic
BABEL,Multilingual,mixed_multidomain
commonvoice,Multilingual,read_sentences
CoVoST2,Multilingual,read_sentences
FISHER,English,spontaneous_conversation
FLEURS,Multilingual,read_prompts
GigaSpeech,English,mixed_longform
GigaST,English,mixed_longform
KsponSpeech,Korean,spontaneous_dialogue
LibriSpeech,English,read_audiobook
MagicData,Chinese,read_prompts
maritime_01,English,domain_maritime
maritime_11,English,domain_maritime
maritime_12,English,domain_maritime
MLS,Multilingual,read_audiobook
MuST-C,Multilingual,lecture_ted
nsc,Chinese,read_prompts
OpenSLR_af,African,read_prompts
OpenSLR_bengali,Indian,read_prompts
OpenSLR_bn_bd,Indian,read_prompts
OpenSLR_bn_in,Indian,read_prompts
OpenSLR_ca_es,European,read_prompts
OpenSLR_es_ar,European,read_prompts
OpenSLR_es_cl,European,read_prompts
OpenSLR_es_co,European,read_prompts
OpenSLR_es_pe,European,read_prompts
OpenSLR_es_pr,European,read_prompts
OpenSLR_es_ve,European,read_prompts
OpenSLR_eu_es,European,read_prompts
OpenSLR_gl_es,European,read_prompts
OpenSLR_gu_in,Indian,read_prompts
OpenSLR_javanese,SoutheastAsian,read_prompts
OpenSLR_jv_id,SoutheastAsian,read_prompts
OpenSLR_km_kh,SoutheastAsian,read_prompts
OpenSLR_kn_in,Indian,read_prompts
OpenSLR_ml_in,Indian,read_prompts
OpenSLR_mr_in,Indian,read_prompts
OpenSLR_ne_np,Indian,read_prompts
OpenSLR_nepali,Indian,read_prompts
OpenSLR_sinhala,Indian,read_prompts
OpenSLR_st,African,read_prompts
OpenSLR_su_id,SoutheastAsian,read_prompts
OpenSLR_sundanese,SoutheastAsian,read_prompts
OpenSLR_ta_in,Indian,read_prompts
OpenSLR_te_in,Indian,read_prompts
OpenSLR_tn,African,read_prompts
OpenSLR_xh,African,read_prompts
OpenSLR_yo_ng,African,read_prompts
ReazonSpeech,Other,spontaneous_monologue
ru,European,read_prompts
SPGISpeech,English,domain_callcenter
SWBD,English,spontaneous_conversation
tedlium,English,lecture_ted
TEDLIUM3,English,lecture_ted
VCTK,English,read_multispeaker
VOXFORGE,English,read_sentences
VoxPopuli,Multilingual,debate_parliamentary
WenetSpeech,Chinese,mixed_multidomain
